car_id,price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
icwAaDOmX573WiRRnLFPT237,2812500,Petrol,Automatic,Toyota,Corolla,2004,Silver,Nigerian Used,251732.0,1800.0,Registered,Registered,,,,,,,
ByZ3NlPy2x0arAIyrKazClUS,5000000,Petrol,Automatic,Acura,MDX,2007,Green,Foreign Used,224589.0,3700.0,Imported,Imported,SUV,,,,,,
2zG6Mh3kwyoTvWoeKHkV1oFH,7592000,Petrol,Automatic,Acura,TL,2012,White,Foreign Used,111334.0,3500.0,Imported,Imported,Sedan,SH-AWD Automatic Tech Package,All Wheel,5.0,6.0,309.0,
7APLHOPlI93qsYK0ST4D4wB2,9880000,Petrol,Automatic,Land Rover,Range Rover,2012,Gray,Nigerian Used,72682.0,4000.0,Registered,Imported,SUV,,,,,,
zIrIDPJLd46eRQf9JFacc0e,4160000,Petrol,Automatic,Ford,Edge,2013,Gray,Nigerian Used,92118.0,3500.0,Registered,Registered,SUV,,,,,,Lagos
cXCDdlfYhkTgnpxVlSqsiBWz,5250000,Petrol,Automatic,Acura,ZDX,2010,White,Nigerian Used,93991.0,3700.0,Registered,Imported,SUV,,,,,,LAGOS
3Lh1di00mSJudNaHWxOrn1L2,16640000,Petrol,Automatic,Lexus,GX,2011,Red,Nigerian Used,122987.0,4800.0,Registered,Registered,SUV,,,,,,Abuja
7ytxLUCMQ5bWIly5x5EOrMdG,7980000,Petrol,Automatic,Lexus,GS,2013,Gray,Nigerian Used,94469.0,3500.0,Registered,Registered,Sedan,350,Rear Wheel,5.0,6.0,318.0,
fYxBktHsYw4js3ZgJnHwl2zU,3885000,Petrol,Automatic,Toyota,Camry,2007,Gold,Foreign Used,159726.0,3000.0,Imported,Imported,,,,,,,
oGK8lzkToaZZz9BklAkx1ull,13000000,Petrol,Automatic,Mercedes-Benz,GLK-Class,2015,White,Foreign Used,138202.0,3500.0,Imported,Imported,SUV,,,,,,
p2ie9iYOamIlpP6wyVmKi3d5,3432000,Petrol,Automatic,Toyota,Camry,2011,Black,Nigerian Used,128048.0,2500.0,Registered,Imported,,,,,,,
8Zxki4qLpwloj8iR2vPf2DIU,14560000,Petrol,Automatic,Mercedes-Benz,M Class,2012,Blue,Foreign Used,329589.0,3500.0,Imported,Imported,SUV,,,,,,
aea4KMjSxWHrfT4BG9UjZ36y,16800000,Petrol,Automatic,Mercedes-Benz,GL-Class,2015,White,Nigerian Used,56233.0,3000.0,Registered,Imported,SUV,GL450 4MATIC 4dr SUV AWD (3.0L 6cyl Turbo 7A),All Wheel,7.0,6.0,362.0,LAGOS
kl0FXS6SPkB6MriRFOWOSq03,10500000,Petrol,Automatic,Land Rover,Range Rover Vogue,2011,White,Nigerian Used,70858.0,4200.0,Registered,Brand new,SUV,,,,,,Lagos
aa8nq9ZiuiVXOMzlxJvdOPUK,3990000,Diesel,Manual,Lancia,Thesis,2007,White,Foreign Used,214524.0,2800.0,Imported,Imported,,,,,,,
8wBhIzD8AlTUaM3AaCrS4jvN,9135000,Petrol,Automatic,Toyota,HiAce,2011,Silver,Foreign Used,31234.0,2700.0,Imported,Imported,,,,,,,
kSZFKIYI0KAZDYEhhk7aNvYP,3328000,Petrol,Automatic,Lexus,ES,2005,Blue,Nigerian Used,205914.0,3300.0,Registered,Registered,,,,,,,LAGOS
uzW7BZeKaIdBbBdrjCFG4hto,13520000,Petrol,Automatic,Toyota,Camry,2018,Black,Nigerian Used,68871.0,3500.0,Registered,Imported,Sedan,L FWD (2.5L 4cyl 8AM),Front,5.0,4.0,203.0,Abuja
yx5r7XdqcyXuR6OBdXsSUnqS,3640000,Petrol,Automatic,Toyota,Corolla,2004,Black,Foreign Used,277779.0,1800.0,Imported,Imported,,,,,,,
7v2JDzdul3aS0gN2Jm3tXQVg,9000000,Petrol,Automatic,Land Rover,Range Rover,2012,Brown,Foreign Used,115.0,4900.0,Imported,Imported,SUV,,,,,,
41wzkRg4eLeMtxN8dKr7ekvo,8839995,Petrol,Automatic,Toyota,Highlander,2010,Black,Foreign Used,138164.0,3500.0,Imported,Imported,SUV,,,,,,
ieLMYnMNQwiMNKwAKTJGhaZa,13208000,Petrol,Automatic,Toyota,Camry,2018,Gray,Nigerian Used,40928.0,2500.0,Registered,Imported,,,,,,,
BqilcF2Tee4V9sW57oVcIaJe,3120000,Petrol,Automatic,Toyota,Highlander,2004,Gold,Nigerian Used,335734.0,3300.0,Registered,Registered,SUV,,,,,,
iMlUfnetc1gD9gV83W6mX3VI,39900000,Petrol,Automatic,Land Rover,Range Rover,2016,White,Nigerian Used,47555.0,3000.0,Registered,Registered,SUV,,,,,,LAGOS
BzvzeohSLKA2PjywTtWyVWWa,4725000,Hybrid,Automatic,Lexus,RX 400h,2006,Gray,Nigerian Used,197857.0,3300.0,Registered,Registered,,,,,,,
43cFG7We0fA57MNbmR7mfTqD,4160000,Petrol,Automatic,Acura,MDX,2008,Black,Nigerian Used,83701.0,3500.0,Registered,Imported,SUV,,,,,,LAGOS
BZv2RAaXvkhCkSZxHpXBuhz5,8840000,Petrol,Automatic,Toyota,Highlander,2009,Silver,Foreign Used,194581.0,3500.0,Imported,Imported,SUV,,,,,,
pPg3iP6nL8IqA3juwxNRLw8m,3640000,Petrol,Automatic,Lexus,ES,2007,Red,Nigerian Used,181974.0,3500.0,Registered,Imported,,,,,,,LAGOS
ppa7P4CfogFeD9KaU5urQ7Y3,4160000,Petrol,Automatic,Mercedes-Benz,M Class,2007,Gold,Nigerian Used,126048.0,3500.0,Registered,Imported,SUV,ML 350 4Matic,All Wheel,5.0,6.0,268.0,LAGOS
wQajIZxTeX1HPesmV2Se9wxb,7360000,Petrol,Automatic,Toyota,Tacoma,2010,Gray,Nigerian Used,105530.0,3500.0,Registered,Imported,Truck,Access Cab Automatic,Rear Wheel,4.0,4.0,161.0,LAGOS
CzA8eoAXw33mrIRa6aozRCG7,4576000,Petrol,Automatic,Toyota,Camry,2012,Red,Nigerian Used,300082.0,2500.0,Registered,Imported,Sedan,LE 4dr Sedan (2.5L 4cyl 6A),Front,5.0,4.0,178.0,LAGOS
